hru;band;precip;pet;z;is_channel;edges;area;geom;sf_type;sf_param;rz_type;rz_param;uz_type;uz_param;sz_type;sz_param;uid;name;s_sf;s_rz;s_uz;s_sz
41;1;precip;precip;710.753295898438;FALSE;{"hru":[143,93,202],"width":[0.0241546630859375,0.007391357421875,0.0206469655834744],slope:[20,20,14.1421356237309]};1600;POLYGON ((347774 509964, 347774 510004, 347814 510004, 347814 509964, 347774 509964));mannings;{"n":0.3};spill;{"s_rz_max":0.1};tank;{"t_d":0.001};exp;{"t_0":0.001,"m":0.02};;;;;;
42;1;precip;precip;467.930084228516;FALSE;{"hru":[3546,3403,3474,203,94],"width":[0.0183590323414302,0.00731964111328125,0.0185691833496094,0.0118189204118613,0.00202255249023438],slope:[14.1421356237309,20,20,14.1421356237309,20]};1600;POLYGON ((351094 509764, 351094 509804, 351134 509804, 351134 509764, 351094 509764));mannings;{"n":0.3};spill;{"s_rz_max":0.1};tank;{"t_d":0.001};exp;{"t_0":0.001,"m":0.02};;;;;;
43;1;precip;precip;596.979309082031;FALSE;{"hru":[261,145,95,146],"width":[0.0512257517248439,0.0648605346679687,0.00406494140625,0.0118739473372772],slope:[14.1421356237309,20,20,14.1421356237309]};1600;POLYGON ((350934 508004, 350934 508044, 350974 508044, 350974 508004, 350934 508004));mannings;{"n":0.3};spill;{"s_rz_max":0.1};tank;{"t_d":0.001};exp;{"t_0":0.001,"m":0.02};;;;;;
44;1;precip;precip;662.795227050781;FALSE;{"hru":[96,207,147],"width":[0.0253463745117187,0.048543458850653,0.0527053833007812],slope:[20,14.1421356237309,20]};1600;POLYGON ((348814 507844, 348814 507884, 348854 507884, 348854 507844, 348814 507844));mannings;{"n":0.3};spill;{"s_rz_max":0.1};tank;{"t_d":0.001};exp;{"t_0":0.001,"m":0.02};;;;;;
45;1;precip;precip;634.227722167969;FALSE;{"hru":[561,265,148,209,97,267,149],"width":[0.127911706568064,0.0994369506835937,0.0583738572322916,0.0774520874023437,0.02294921875,0.0670627166513822,0.0442489624023438],slope:[14.1421356237309,20,14.1421356237309,20,20,14.1421356237309,20]};1600;POLYGON ((350054 507804, 350054 507844, 350094 507844, 350094 507804, 350054 507804));mannings;{"n":0.3};spill;{"s_rz_max":0.1};tank;{"t_d":0.001};exp;{"t_0":0.001,"m":0.02};;;;;;
46;1;precip;precip;631.339782714844;FALSE;{"hru":[150,98],"width":[0.0419963336854919,0.0413314819335937],slope:[14.1421356237309,20]};1600;POLYGON ((349694 507284, 349694 507324, 349734 507324, 349734 507284, 349694 507284));mannings;{"n":0.3};spill;{"s_rz_max":0.1};tank;{"t_d":0.001};exp;{"t_0":0.001,"m":0.02};;;;;;
47;2;precip;precip;440.307342529297;FALSE;{"hru":[151,270,99,211,154,1044],"width":[0.0266082763671875,0.0565924953918695,0.00120468139648438,0.0765296936035156,0.0522956848144531,0.13283068211651],slope:[20,14.1421356237309,20,20,20,14.1421356237309]};1600;POLYGON ((350854 513604, 350854 513644, 350894 513644, 350894 513604, 350854 513604));mannings;{"n":0.3};spill;{"s_rz_max":0.1};tank;{"t_d":0.001};exp;{"t_0":0.001,"m":0.02};;;;;;
48;2;precip;precip;462.816436767578;FALSE;{"hru":[100,101,155,273],"width":[0.0240371704101562,0.00649317719906714,0.0498054504394531,0.095126988093113],slope:[20,14.1421356237309,20,14.1421356237309]};1600;POLYGON ((350494 513564, 350494 513604, 350534 513604, 350534 513564, 350494 513564));mannings;{"n":0.3};spill;{"s_rz_max":0.1};tank;{"t_d":0.001};exp;{"t_0":0.001,"m":0.02};;;;;;
49;2;precip;precip;468.808990478516;FALSE;{"hru":[102,1655,1584,1515],"width":[0.00450515747070312,0.0814803105899889,0.0696846008300781,0.0144817920182584],slope:[20,14.1421356237309,20,14.1421356237309]};1600;POLYGON ((350294 513404, 350294 513444, 350334 513444, 350334 513404, 350294 513404));mannings;{"n":0.3};spill;{"s_rz_max":0.1};tank;{"t_d":0.001};exp;{"t_0":0.001,"m":0.02};;;;;;
50;2;precip;precip;484.547241210938;FALSE;{"hru":[214,104,157,275],"width":[0.0356903076171875,0.00473177610609986,0.0217880249023438,0.0329584309257734],slope:[20,14.1421356237309,20,14.1421356237309]};1600;POLYGON ((350054 513284, 350054 513324, 350094 513324, 350094 513284, 350054 513284));mannings;{"n":0.3};spill;{"s_rz_max":0.1};tank;{"t_d":0.001};exp;{"t_0":0.001,"m":0.02};;;;;;
